,rank,Team,rank_change,year,Part,Pld,W,D,L,GF,GA,GD,Points,previous_cup_wins,won_this_year
11027,182,Eswatini,3,2012,,,,,,,,,,0,0
11028,185,Comoros,-2,2012,1.0,4.0,1.0,0.0,3.0,4.0,7.0,-3.0,3.0,0,0
11029,187,Seychelles,-2,2012,,,,,,,,,,0,0
11030,189,Eritrea,-1,2012,,,,,,,,,,0,0
11031,191,Somalia,0,2012,,,,,,,,,,0,0
11032,193,Mauritius,1,2012,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
11033,196,Djibouti,-1,2012,,,,,,,,,,0,0
11034,113,Botswana,-3,2012,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
11035,114,DR Congo,-13,2012,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
11036,114,Niger,-8,2012,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
11037,117,Namibia,-17,2012,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
11038,119,Ethiopia,-11,2012,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
11039,120,Liberia,-4,2012,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
11040,123,Chad,11,2012,,,,,,,,,,0,0
11041,125,Kenya,14,2012,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
11042,125,Rwanda,6,2012,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0,0
11043,127,Tanzania,-12,2012,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
11044,128,Gambia,20,2012,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
11045,111,Equatorial Guinea,-3,2012,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
11046,91,Congo,8,2012,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
11047,93,Malawi,-14,2012,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
11048,98,Togo,0,2012,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
11049,105,Sudan,4,2012,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
11050,107,Mozambique,-10,2012,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
11051,100,Zimbabwe,-6,2012,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
11052,167,Madagascar,4,2012,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
11053,169,Guinea-Bissau,0,2012,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
11054,166,Lesotho,-4,2012,,,,,,,,,,0,0
11055,132,Sao Tome and Principe,14,2012,,,,,,,,,,0,0
11056,136,Burundi,5,2012,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
11057,87,Burkina Faso,1,2012,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
11058,33,Ghana,8,2012,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
11059,35,Algeria,3,2012,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
11060,39,Libya,-3,2012,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
11061,40,Mali,-3,2012,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
11062,41,Zambia,-2,2012,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,1,1
11063,42,Egypt,-6,2012,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,7,0
11064,43,Tunisia,-3,2012,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,1,0
11065,16,Ivory Coast,0,2012,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
11066,68,South Africa,0,2012,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,1,0
11067,71,Morocco,1,2012,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
11068,73,CAR,-20,2012,,,,,,,,,,0,0
11069,78,Benin,6,2012,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
11070,45,Gabon,-4,2012,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
11071,85,Uganda,-9,2012,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
11072,86,Angola,2,2012,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
11073,79,Cape Verde,2,2012,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
11074,75,Guinea,8,2012,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
11075,65,Sierra Leone,6,2012,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
11076,61,Senegal,-2,2012,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
11077,59,Cameroon,-5,2012,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,4,0
11078,58,Nigeria,-2,2012,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,2,0
11079,133,Burundi,-3,2012,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
11080,113,Namibia,-4,2012,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
11081,131,Sao Tome and Principe,-1,2012,,,,,,,,,,0,0
11082,111,Equatorial Guinea,0,2012,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
11083,112,Botswana,-1,2012,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
11084,115,DR Congo,1,2012,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
11085,115,Niger,1,2012,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
11086,117,Liberia,-3,2012,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
11087,118,Chad,-5,2012,,,,,,,,,,0,0
11088,122,Ethiopia,3,2012,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
11089,126,Kenya,1,2012,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
11090,128,Tanzania,1,2012,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
11091,129,Gambia,1,2012,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
11092,189,Seychelles,2,2012,,,,,,,,,,0,0
11093,190,Somalia,-1,2012,,,,,,,,,,0,0
11094,193,Comoros,8,2012,1.0,4.0,1.0,0.0,3.0,4.0,7.0,-3.0,3.0,0,0
11095,194,Mauritius,1,2012,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
11096,187,Eritrea,-2,2012,,,,,,,,,,0,0
11097,198,Djibouti,2,2012,,,,,,,,,,0,0
11098,203,Mauritania,1,2012,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
11099,107,Mozambique,0,2012,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
11100,199,South Sudan,199,2012,,,,,,,,,,0,0
11101,165,Madagascar,-2,2012,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
11102,167,Lesotho,1,2012,,,,,,,,,,0,0
11103,169,Guinea-Bissau,0,2012,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
11104,181,Eswatini,-1,2012,,,,,,,,,,0,0
11105,106,Zimbabwe,6,2012,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
11106,125,Rwanda,0,2012,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0,0
11107,32,Ghana,-1,2012,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
11108,34,Algeria,-1,2012,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
11109,38,Libya,-1,2012,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
11110,40,Egypt,-2,2012,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,7,0
11111,41,Tunisia,-2,2012,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,1,0
11112,43,Gabon,-2,2012,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
11113,44,Zambia,3,2012,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,1,1
11114,39,Mali,-1,2012,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
11115,104,Sudan,-1,2012,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
11116,16,Ivory Coast,0,2012,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
11117,85,Angola,-1,2012,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
11118,87,Burkina Faso,0,2012,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
11119,88,Uganda,3,2012,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
11120,92,Congo,1,2012,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
11121,99,Togo,1,2012,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
11122,90,Malawi,-3,2012,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
11123,77,Benin,-1,2012,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
11124,78,Cape Verde,-1,2012,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
11125,57,Sierra Leone,-8,2012,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
11126,58,Nigeria,0,2012,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,2,0
11127,59,Cameroon,0,2012,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,4,0
11128,61,Senegal,0,2012,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
11129,67,South Africa,-1,2012,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,1,0
11130,68,Morocco,-3,2012,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
11131,71,CAR,-2,2012,,,,,,,,,,0,0
11132,74,Guinea,-1,2012,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
11133,134,Burundi,1,2012,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
11134,109,Mozambique,2,2012,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
11135,132,Tanzania,4,2012,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
11136,110,DR Congo,-5,2012,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
11137,111,Liberia,-6,2012,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
11138,114,Ethiopia,-8,2012,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
11139,115,Namibia,2,2012,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
11140,116,Chad,-2,2012,,,,,,,,,,0,0
11141,133,Sao Tome and Principe,2,2012,,,,,,,,,,0,0
11142,120,Rwanda,-5,2012,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0,0
11143,123,Botswana,11,2012,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
11144,125,Kenya,-1,2012,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
11145,126,Niger,11,2012,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
11146,129,Gambia,0,2012,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
11147,157,Lesotho,-10,2012,,,,,,,,,,0,0
11148,187,Somalia,-3,2012,,,,,,,,,,0,0
11149,190,Comoros,-3,2012,1.0,4.0,1.0,0.0,3.0,4.0,7.0,-3.0,3.0,0,0
11150,190,Seychelles,1,2012,,,,,,,,,,0,0
11151,190,Eswatini,9,2012,,,,,,,,,,0,0
11152,196,Djibouti,-2,2012,,,,,,,,,,0,0
11153,197,South Sudan,-2,2012,,,,,,,,,,0,0
11154,200,Mauritius,6,2012,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
11155,204,Mauritania,1,2012,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
11156,185,Eritrea,-2,2012,,,,,,,,,,0,0
11157,163,Madagascar,-2,2012,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
11158,171,Guinea-Bissau,2,2012,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
11159,107,Equatorial Guinea,-4,2012,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
11160,28,Algeria,-6,2012,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
11161,31,Ghana,-1,2012,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
11162,32,Mali,-7,2012,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
11163,36,Libya,-2,2012,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
11164,38,Egypt,-2,2012,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,7,0
11165,41,Tunisia,0,2012,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,1,0
11166,42,Zambia,-2,2012,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,1,1
11167,44,Gabon,1,2012,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
11168,16,Ivory Coast,0,2012,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
11169,83,Congo,-9,2012,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
11170,85,Burkina Faso,-2,2012,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
11171,88,Uganda,0,2012,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
11172,90,Malawi,0,2012,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
11173,98,Zimbabwe,-8,2012,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
11174,99,Togo,0,2012,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
11175,103,Sudan,-1,2012,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
11176,80,Angola,-5,2012,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
11177,58,Nigeria,0,2012,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,2,0
11178,59,Sierra Leone,2,2012,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
11179,61,Cameroon,2,2012,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,4,0
11180,62,Senegal,1,2012,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
11181,64,CAR,-7,2012,,,,,,,,,,0,0
11182,65,Cape Verde,-13,2012,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
11183,68,Morocco,0,2012,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
11184,69,Guinea,-5,2012,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
11185,71,Benin,-6,2012,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
11186,74,South Africa,7,2012,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,1,0
11187,98,Liberia,-13,2012,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
11188,76,South Africa,2,2012,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,1,0
11189,75,Morocco,7,2012,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
11190,74,Benin,3,2012,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
11191,71,Cameroon,10,2012,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,4,0
11192,68,Senegal,6,2012,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
11193,67,Sierra Leone,8,2012,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
11194,63,Nigeria,5,2012,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,2,0
11195,62,Guinea,-7,2012,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
11196,103,DR Congo,-7,2012,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
11197,100,Sudan,-3,2012,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
11198,99,Mozambique,-10,2012,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
11199,96,Malawi,6,2012,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
11200,94,Congo,11,2012,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
11201,93,Togo,-6,2012,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
11202,91,Burkina Faso,6,2012,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
11203,90,Uganda,2,2012,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
11204,89,Zimbabwe,-9,2012,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
11205,83,Angola,3,2012,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
11206,53,Libya,17,2012,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
11207,51,Cape Verde,-14,2012,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
11208,16,Ivory Coast,0,2012,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
11209,24,Algeria,-4,2012,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
11210,27,Mali,-5,2012,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
11211,49,CAR,-15,2012,,,,,,,,,,0,0
11212,47,Gabon,3,2012,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
11213,45,Tunisia,4,2012,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,1,0
11214,41,Zambia,-1,2012,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,1,1
11215,40,Egypt,2,2012,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,7,0
11216,31,Ghana,0,2012,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
11217,105,Equatorial Guinea,-2,2012,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
11218,108,Namibia,-7,2012,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
11219,173,Guinea-Bissau,2,2012,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
11220,171,Madagascar,8,2012,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
11221,205,Mauritania,1,2012,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
11222,201,Mauritius,1,2012,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
11223,198,South Sudan,1,2012,,,,,,,,,,0,0
11224,197,Djibouti,1,2012,,,,,,,,,,0,0
11225,190,Eswatini,0,2012,,,,,,,,,,0,0
11226,190,Seychelles,0,2012,,,,,,,,,,0,0
11227,190,Comoros,0,2012,1.0,4.0,1.0,0.0,3.0,4.0,7.0,-3.0,3.0,0,0
11228,188,Somalia,1,2012,,,,,,,,,,0,0
11229,187,Eritrea,2,2012,,,,,,,,,,0,0
11230,158,Lesotho,1,2012,,,,,,,,,,0,0
11231,131,Gambia,2,2012,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
11232,125,Chad,9,2012,,,,,,,,,,0,0
11233,124,Rwanda,4,2012,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0,0
11234,120,Botswana,-3,2012,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
11235,132,Sao Tome and Principe,-1,2012,,,,,,,,,,0,0
11236,118,Ethiopia,4,2012,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
11237,132,Tanzania,0,2012,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
11238,128,Kenya,3,2012,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
11239,135,Burundi,1,2012,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
11240,137,Niger,11,2012,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
11241,133,Sao Tome and Principe,1,2012,,,,,,,,,,0,0
11242,134,Tanzania,2,2012,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
11243,142,Gambia,11,2012,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
11244,107,Niger,-30,2012,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
11245,110,Mozambique,11,2012,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
11246,114,Liberia,16,2012,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
11247,115,Congo,21,2012,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
11248,117,Botswana,-3,2012,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
11249,117,Namibia,9,2012,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
11250,120,Chad,-5,2012,,,,,,,,,,0,0
11251,122,Rwanda,-2,2012,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0,0
11252,128,Burundi,-7,2012,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
11253,130,Kenya,2,2012,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
11254,185,Eswatini,-5,2012,,,,,,,,,,0,0
11255,192,Eritrea,5,2012,,,,,,,,,,0,0
11256,193,Somalia,5,2012,,,,,,,,,,0,0
11257,194,Seychelles,4,2012,,,,,,,,,,0,0
11258,200,South Sudan,2,2012,,,,,,,,,,0,0
11259,202,Djibouti,5,2012,,,,,,,,,,0,0
11260,203,Mauritius,2,2012,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
11261,206,Mauritania,1,2012,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
11262,196,Comoros,6,2012,1.0,4.0,1.0,0.0,3.0,4.0,7.0,-3.0,3.0,0,0
11263,158,Lesotho,0,2012,,,,,,,,,,0,0
11264,173,Madagascar,2,2012,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
11265,175,Guinea-Bissau,2,2012,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
11266,102,Ethiopia,-16,2012,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
11267,28,Mali,1,2012,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
11268,29,Ghana,-2,2012,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
11269,39,Zambia,-2,2012,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,1,1
11270,40,Egypt,0,2012,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,7,0
11271,46,Tunisia,1,2012,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,1,0
11272,15,Ivory Coast,-1,2012,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
11273,19,Algeria,-5,2012,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
11274,102,Sudan,2,2012,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
11275,52,CAR,3,2012,,,,,,,,,,0,0
11276,84,South Africa,8,2012,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,1,0
11277,86,Uganda,-4,2012,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
11278,89,Burkina Faso,-2,2012,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
11279,79,Angola,-4,2012,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
11280,95,Equatorial Guinea,-10,2012,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
11281,98,Zimbabwe,9,2012,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
11282,99,DR Congo,-4,2012,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
11283,101,Malawi,5,2012,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
11284,77,Benin,3,2012,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
11285,52,Gabon,5,2012,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
11286,57,Nigeria,-6,2012,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,2,0
11287,59,Libya,6,2012,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
11288,61,Sierra Leone,-6,2012,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
11289,62,Cameroon,-9,2012,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,4,0
11290,63,Cape Verde,12,2012,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
11291,71,Guinea,9,2012,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
11292,72,Morocco,-3,2012,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
11293,73,Togo,-20,2012,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
11294,75,Senegal,7,2012,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
11295,77,Senegal,2,2012,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
